Sprachen
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Java       |        114 |      6,371 |      2,762 |      1,958 |     11,091 |
| CSS        |          5 |        881 |         31 |        378 |      1,290 |
| XML        |         20 |        861 |          0 |         61 |        922 |
| Properties |          8 |        112 |          0 |          5 |        117 |
+------------+------------+------------+------------+------------+------------+

Dateien
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                       | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| KodeX/src/main/java/kodex/pluginutils/presenter/edit/BinaryStringEditPresenter.java                            | Java       |         15 |          4 |          6 |         25 |
| KodeX/src/main/java/kodex/pluginutils/presenter/edit/CharacterStringEditPresenter.java                         | Java       |         16 |          4 |          7 |         27 |
| KodeX/src/main/java/kodex/pluginutils/presenter/edit/ColorImageEditPresenter.java                              | Java       |         16 |          4 |          7 |         27 |
| KodeX/src/main/java/kodex/pluginutils/presenter/edit/RGBByteListEditPresenter.java                             | Java       |         16 |          4 |          7 |         27 |
| KodeX/src/main/java/kodex/pluginutils/presenter/edit/RGBListEditPresenter.java                                 | Java       |         16 |          4 |          7 |         27 |
| KodeX/src/main/java/kodex/pluginutils/presenter/edit/RGBMatrixEditPresenter.java                               | Java       |         16 |          4 |          7 |         27 |
| KodeX/src/main/java/kodex/pluginutils/presenter/header/BinaryStringHeaderPresenter.java                        | Java       |         22 |         10 |          8 |         40 |
| KodeX/src/main/java/kodex/pluginutils/presenter/header/CharacterStringHeaderPresenter.java                     | Java       |         22 |         10 |          8 |         40 |
| KodeX/src/main/java/kodex/pluginutils/presenter/header/ColorImageHeaderPresenter.java                          | Java       |         22 |         10 |          8 |         40 |
| KodeX/src/main/java/kodex/pluginutils/presenter/header/RGBByteListHeaderPresenter.java                         | Java       |         22 |         10 |          8 |         40 |
| KodeX/src/main/java/kodex/pluginutils/presenter/header/RGBListHeaderPresenter.java                             | Java       |         22 |         10 |          8 |         40 |
| KodeX/src/main/java/kodex/pluginutils/presenter/header/RGBMatrixHeaderPresenter.java                           | Java       |         22 |         10 |          8 |         40 |
| KodeX/src/main/java/kodex/presenter/ChainPresenter.java                                                        | Java       |        154 |        103 |         65 |        322 |
| KodeX/src/main/java/kodex/presenter/ChainSplitPane.java                                                        | Java       |          9 |          1 |          5 |         15 |
| KodeX/src/main/java/kodex/presenter/ChainSplitPaneSkin.java                                                    | Java       |      1,028 |        157 |        147 |      1,332 |
| KodeX/src/main/java/kodex/presenter/HelpPresenter.java                                                         | Java       |         60 |         41 |         25 |        126 |
| KodeX/src/main/java/kodex/presenter/IPresenter.java                                                            | Java       |          5 |         15 |          4 |         24 |
| KodeX/src/main/java/kodex/presenter/IndexPagePresenter.java                                                    | Java       |        127 |         85 |         41 |        253 |
| KodeX/src/main/java/kodex/presenter/NetworkPresenter.java                                                      | Java       |        163 |         75 |         76 |        314 |
| KodeX/src/main/java/kodex/presenter/PluginMenuPresenter.java                                                   | Java       |        100 |         47 |         25 |        172 |
| KodeX/src/main/java/kodex/presenter/Presenter.java                                                             | Java       |         25 |         26 |         13 |         64 |
| KodeX/src/main/java/kodex/presenter/PresenterFactory.java                                                      | Java       |         29 |         51 |         12 |         92 |
| KodeX/src/main/java/kodex/presenter/PresenterManager.java                                                      | Java       |         35 |         44 |         21 |        100 |
| KodeX/src/main/java/kodex/presenter/ProcedureLayoutPresenter.java                                              | Java       |        161 |        115 |         56 |        332 |
| KodeX/src/main/java/kodex/presenter/SettingsPresenter.java                                                     | Java       |        119 |         67 |         57 |        243 |
| KodeX/src/main/java/kodex/presenter/SideMenuPresenter.java                                                     | Java       |         81 |         49 |         31 |        161 |
| KodeX/src/main/java/kodex/presenter/textformatter/IPAddrFormatter.java                                         | Java       |         25 |         16 |         10 |         51 |
